ts,device_id,device_name,device_type,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,orig_pkts,resp_pkts,conn_state,capture_scenario
1540472531.582530,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,C29JTF1UOZjbQoRx3,192.168.1.132,53406,2.16.60.82,443,tcp,-,0.003499,0,0,4,3,SF,CTU-Honeypot-Capture-4-1
1540472531.535825,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CTtK543h1wuw8BOjx,192.168.1.132,41945,192.168.1.1,53,udp,dns,0.046210,34,297,1,1,SF,CTU-Honeypot-Capture-4-1
1540472494.191783,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CAOq8i3svbVXkWbZD3,192.168.1.132,60468,216.239.35.4,123,udp,-,0.114417,48,48,1,1,SF,CTU-Honeypot-Capture-4-1
1540472539.348081,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,C3yNIb4bmZB9PGimj8,192.168.1.132,47872,216.239.35.8,123,udp,-,0.017238,48,48,1,1,SF,CTU-Honeypot-Capture-4-1
1540472502.078251,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CZa3qT1YOqrDnum2ud,192.168.1.132,1900,239.255.255.250,1900,udp,-,50.868027,3768,0,12,0,S0,CTU-Honeypot-Capture-4-1
1540473275.464119,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,C505sa1jNFFexpP6a3,192.168.1.132,40117,216.239.35.12,123,udp,-,0.269349,48,48,1,1,SF,CTU-Honeypot-Capture-4-1
1540473431.620666,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,Cx8IgN3iIIlwEhtIg3,192.168.1.132,56414,2.16.60.139,443,tcp,-,0.003495,0,0,5,3,SF,CTU-Honeypot-Capture-4-1
1540473431.583954,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,Cv2jEb1aOYScmCnL5g,192.168.1.132,44519,192.168.1.1,53,udp,dns,0.036214,34,311,1,1,SF,CTU-Honeypot-Capture-4-1
1540472614.499427,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,C025uM1dmPB9pqTkP9,192.168.1.132,1900,239.255.255.250,1900,udp,-,1480.810378,52752,0,168,0,S0,CTU-Honeypot-Capture-4-1
1540474331.823843,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CaUj5SqM6MzuzRMn2,192.168.1.132,53408,2.16.60.82,443,tcp,-,0.003496,0,0,4,2,SF,CTU-Honeypot-Capture-4-1
1540474331.623219,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CRpfqB3kixgb3iGKY2,192.168.1.132,35624,192.168.1.1,53,udp,dns,0.200137,34,297,1,1,SF,CTU-Honeypot-Capture-4-1
1540474466.832336,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,C1SR67La2smGPXQgl,192.168.1.132,37547,216.239.35.0,123,udp,-,0.109694,48,48,1,1,SF,CTU-Honeypot-Capture-4-1
1540474595.043308,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,C9rfg3DPGazGisG8f,192.168.1.132,42661,216.239.35.4,123,udp,-,0.116179,48,48,1,1,SF,CTU-Honeypot-Capture-4-1
1540474660.224139,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,C4ZMI03YRLJpGsS1Gk,192.168.1.132,58337,216.239.35.8,123,udp,-,0.016732,48,48,1,1,SF,CTU-Honeypot-Capture-4-1
1540475231.950154,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CB0DUp1dWFoiXeHlk6,192.168.1.132,53409,2.16.60.82,443,tcp,-,3.000292,0,0,6,2,SF,CTU-Honeypot-Capture-4-1
1540475231.829978,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CaL5Zl1IYbzg8TOvN1,192.168.1.132,37762,192.168.1.1,53,udp,dns,0.119679,34,297,1,1,SF,CTU-Honeypot-Capture-4-1
1540474155.445242,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CTIWJf3d4syOW81YAb,192.168.1.132,1900,239.255.255.250,1900,udp,-,1032.879228,37680,0,120,0,S0,CTU-Honeypot-Capture-4-1
1540475249.018951,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,Chp7Wb6fF9MF6uU2k,192.168.1.132,1900,239.255.255.250,1900,udp,-,50.830580,3768,0,12,0,S0,CTU-Honeypot-Capture-4-1
1540475357.340566,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CG5S7F4VEBuoeB9Xs9,192.168.1.132,60830,216.239.35.12,123,udp,-,0.270102,48,48,1,1,SF,CTU-Honeypot-Capture-4-1
1540475359.960583,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,Cnb06s1Znjnung2qr1,192.168.1.132,1900,239.255.255.250,1900,udp,-,322.370929,13188,0,42,0,S0,CTU-Honeypot-Capture-4-1
1540476124.983569,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,C9jU4h471UjRdSSze7,192.168.1.132,56812,52.209.221.67,80,tcp,http,0.089448,1847,1539,7,7,SF,CTU-Honeypot-Capture-4-1
1540476125.075766,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CajqPf45nI4XZfNi5g,192.168.1.132,60410,52.215.95.120,80,tcp,http,0.114934,1847,791,6,6,SF,CTU-Honeypot-Capture-4-1
1540476124.798177,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,Cgy2EYobRk1smi0hl,192.168.1.132,44113,192.168.1.1,53,udp,dns,0.180398,37,179,1,1,SF,CTU-Honeypot-Capture-4-1
1540476124.979321,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CybtIqpihamUF9ei8,192.168.1.132,55180,192.168.1.1,53,udp,dns,0.003752,37,442,1,1,SF,CTU-Honeypot-Capture-4-1
1540476125.073768,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,C8WJCQ1wdWmWNRp7V2,192.168.1.132,52508,192.168.1.1,53,udp,dns,0.000499,37,100,1,1,SF,CTU-Honeypot-Capture-4-1
1540476125.074767,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,Ce9nf72uGYrBAnGtGh,192.168.1.132,57276,192.168.1.1,53,udp,dns,0.000750,37,132,1,1,SF,CTU-Honeypot-Capture-4-1
1540476135.012856,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CtywZo2EMLbcogHDwk,192.168.1.132,53412,2.16.60.82,443,tcp,-,0.003496,0,0,4,2,SF,CTU-Honeypot-Capture-4-1
1540476134.950397,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CI6HqI2pPt4MYd9lj,192.168.1.132,50702,192.168.1.1,53,udp,dns,0.061961,34,311,1,1,SF,CTU-Honeypot-Capture-4-1
1540476614.709889,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,C1ozz8kKX3LS4aswk,192.168.1.132,58852,216.239.35.0,123,udp,-,0.109678,48,48,1,1,SF,CTU-Honeypot-Capture-4-1
1540476757.919723,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,C8fHZ41GZZozesCiqj,192.168.1.132,48147,216.239.35.4,123,udp,-,0.114433,48,48,1,1,SF,CTU-Honeypot-Capture-4-1
1540476804.080158,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CqdhaF5xvBFSNGHk1,192.168.1.132,45244,216.239.35.8,123,udp,-,0.016723,48,48,1,1,SF,CTU-Honeypot-Capture-4-1
1540477035.058426,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,Cs1K323K1jOQi2kUT9,192.168.1.132,56420,2.16.60.139,443,tcp,-,0.003248,0,0,4,2,SF,CTU-Honeypot-Capture-4-1
1540477035.015706,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,C2KkwA4bb6Zm15LMAi,192.168.1.132,52447,192.168.1.1,53,udp,dns,0.042224,34,297,1,1,SF,CTU-Honeypot-Capture-4-1
1540475744.953356,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CmSPZM1VeGjyWUKnSc,192.168.1.132,1900,239.255.255.250,1900,udp,-,1643.646987,58404,0,186,0,S0,CTU-Honeypot-Capture-4-1
1540477474.197539,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CqoVrQ2jIdhoxyJ3vi,192.168.1.132,33243,216.239.35.12,123,udp,-,0.269861,48,48,1,1,SF,CTU-Honeypot-Capture-4-1
1540477502.399210,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,Cln7FX3jEFbLoh5V76,192.168.1.132,1900,239.255.255.250,1900,udp,-,109.999279,5652,0,18,0,S0,CTU-Honeypot-Capture-4-1
1540477935.096245,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CquRBf3qPSLrfDZME5,192.168.1.132,56602,2.16.60.139,443,tcp,-,0.003497,0,0,5,3,SF,CTU-Honeypot-Capture-4-1
1540477935.060518,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CaJTGK251IMHxhAlL5,192.168.1.132,46059,192.168.1.1,53,udp,dns,0.034980,34,297,1,1,SF,CTU-Honeypot-Capture-4-1
1540478671.568043,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,C7JXdX2wP6TZ9dU1L6,192.168.1.132,45914,216.239.35.0,123,udp,-,0.109194,48,48,1,1,SF,CTU-Honeypot-Capture-4-1
1540478835.206048,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,Cb6hEU29Q51Uh5o4b,192.168.1.132,53596,2.16.60.82,443,tcp,-,0.003498,0,0,4,2,SF,CTU-Honeypot-Capture-4-1
1540478835.098119,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,Ct5dAw3Xi2Hdys9A96,192.168.1.132,52404,192.168.1.1,53,udp,dns,0.107433,34,297,1,1,SF,CTU-Honeypot-Capture-4-1
1540478897.777652,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CrS9pI2Df9e3pVlaH,192.168.1.132,52156,216.239.35.8,123,udp,-,0.016983,48,48,1,1,SF,CTU-Honeypot-Capture-4-1
1540478909.806048,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CMvpwu3AlLojqV6xC6,192.168.1.132,47693,216.239.35.4,123,udp,-,0.114429,48,48,1,1,SF,CTU-Honeypot-Capture-4-1
1540479532.019680,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CB7ALp4YViqgQDMZI3,192.168.1.132,46724,216.239.35.12,123,udp,-,0.269841,48,48,1,1,SF,CTU-Honeypot-Capture-4-1
1540479724.840014,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,Cx7C0rBT2nl5Kjzw8,192.168.1.132,60596,52.215.95.120,80,tcp,http,0.093946,1847,1539,7,7,SF,CTU-Honeypot-Capture-4-1
1540479724.936960,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CGTOJt2xNQkobSwysb,192.168.1.132,57000,52.209.221.67,80,tcp,http,0.126426,1847,791,6,6,SF,CTU-Honeypot-Capture-4-1
1540479724.795308,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CwqJ5D3zVGg6IPW4Ne,192.168.1.132,57927,192.168.1.1,53,udp,dns,0.039463,37,179,1,1,SF,CTU-Honeypot-Capture-4-1
1540479724.835267,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,C6PJkt3yXlV49l8yrf,192.168.1.132,43483,192.168.1.1,53,udp,dns,0.004250,37,442,1,1,SF,CTU-Honeypot-Capture-4-1
1540479724.934961,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CJvZrS2myol5OtCqt,192.168.1.132,47067,192.168.1.1,53,udp,dns,0.000499,37,100,1,1,SF,CTU-Honeypot-Capture-4-1
1540479724.935959,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,C1UiiY12fggmaaXaJ4,192.168.1.132,51670,192.168.1.1,53,udp,dns,0.000500,37,132,1,1,SF,CTU-Honeypot-Capture-4-1
1540479735.255579,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CCX7ye2aClx8tifQvl,192.168.1.132,53599,2.16.60.82,443,tcp,-,0.003250,0,0,4,3,SF,CTU-Honeypot-Capture-4-1
1540479735.208374,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,Cj88eQ2LLHagBCKrxh,192.168.1.132,59133,192.168.1.1,53,udp,dns,0.046721,34,297,1,1,SF,CTU-Honeypot-Capture-4-1
1540480635.309043,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,Cs4qk62UTBa3GY4gwl,192.168.1.132,56607,2.16.60.139,443,tcp,-,0.003745,0,0,4,3,SF,CTU-Honeypot-Capture-4-1
1540480635.257336,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CU8GGT1Vu2qt0wFT7g,192.168.1.132,50151,192.168.1.1,53,udp,dns,0.051225,34,297,1,1,SF,CTU-Honeypot-Capture-4-1
1540480739.387242,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CKqaWQ15Z1dHj0zB83,192.168.1.132,54251,216.239.35.0,123,udp,-,0.109680,48,48,1,1,SF,CTU-Honeypot-Capture-4-1
1540480974.597440,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CNlitm1jg4l6KNuTik,192.168.1.132,37639,216.239.35.8,123,udp,-,0.016990,48,48,1,1,SF,CTU-Honeypot-Capture-4-1
1540481064.704348,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,C171Dq4TLzzeKADiDg,192.168.1.132,54182,216.239.35.4,123,udp,-,0.114424,48,48,1,1,SF,CTU-Honeypot-Capture-4-1
1540481535.351819,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CPzhwSyOPMNESW6d3,192.168.1.132,53601,2.16.60.82,443,tcp,-,0.003247,0,0,5,3,SF,CTU-Honeypot-Capture-4-1
1540481535.310853,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CT0eAm3Xg44YRX9sH,192.168.1.132,38186,192.168.1.1,53,udp,dns,0.040470,34,297,1,1,SF,CTU-Honeypot-Capture-4-1
1540481638.915048,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,ClBXJo3oiO0YR0tWAj,192.168.1.132,41893,216.239.35.12,123,udp,-,0.272601,48,48,1,1,SF,CTU-Honeypot-Capture-4-1
1540482435.551159,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CbVqMk2OM7jVeueEE5,192.168.1.132,53602,2.16.60.82,443,tcp,-,0.003501,0,0,4,3,SF,CTU-Honeypot-Capture-4-1
1540482435.354029,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CH2TLa13mJl9yC5SNe,192.168.1.132,41753,192.168.1.1,53,udp,dns,0.196634,34,297,1,1,SF,CTU-Honeypot-Capture-4-1
1540482803.287863,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,Cq4mKCnC3Lf9tGgJe,192.168.1.132,41445,216.239.35.0,123,udp,-,0.109685,48,48,1,1,SF,CTU-Honeypot-Capture-4-1
1540483123.497131,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CqJFee3vA7vjnERW99,192.168.1.132,36649,216.239.35.8,123,udp,-,0.016989,48,48,1,1,SF,CTU-Honeypot-Capture-4-1
1540483150.540470,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CecO7k9WA7LfLfqvg,192.168.1.132,53816,216.239.35.4,123,udp,-,0.114182,48,48,1,1,SF,CTU-Honeypot-Capture-4-1
1540483324.998282,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CVCoG14pyysFPa2kQi,192.168.1.132,60602,52.215.95.120,80,tcp,http,0.094447,1847,1539,7,7,SF,CTU-Honeypot-Capture-4-1
1540483325.095726,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CdV7FS1hOxkGuHkTbc,192.168.1.132,57006,52.209.221.67,80,tcp,http,0.113685,1847,791,6,6,SF,CTU-Honeypot-Capture-4-1
1540483327.011386,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CSiLuw4nkxF0s73csc,192.168.1.132,60787,130.211.67.12,80,tcp,http,0.210379,1595,177,8,7,SF,CTU-Honeypot-Capture-4-1
1540483324.792410,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,Ci3Bs7hzpaHFrCNNg,192.168.1.132,43664,192.168.1.1,53,udp,dns,0.200631,37,179,1,1,SF,CTU-Honeypot-Capture-4-1
1540483324.993536,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CATNYt2MrpvQjeSp56,192.168.1.132,56163,192.168.1.1,53,udp,dns,0.004000,37,442,1,1,SF,CTU-Honeypot-Capture-4-1
1540483325.093728,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,C151Up1xUqLv8B0Hbb,192.168.1.132,37627,192.168.1.1,53,udp,dns,0.000500,37,100,1,1,SF,CTU-Honeypot-Capture-4-1
1540483325.094727,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CWQP8Y2iiMWt523Gdb,192.168.1.132,33707,192.168.1.1,53,udp,dns,0.000750,37,132,1,1,SF,CTU-Honeypot-Capture-4-1
1540483326.813508,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CNemLr3mI0LX4Fuim3,192.168.1.132,60441,192.168.1.1,53,udp,dns,0.197378,41,124,1,1,SF,CTU-Honeypot-Capture-4-1
1540483335.594244,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CkLEmT1fURC8GHJ2ke,192.168.1.132,53606,2.16.60.82,443,tcp,-,0.003497,0,0,4,2,SF,CTU-Honeypot-Capture-4-1
1540483335.554268,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,C7iIFeFqYItiy7AMh,192.168.1.132,47242,192.168.1.1,53,udp,dns,0.039479,34,297,1,1,SF,CTU-Honeypot-Capture-4-1
1540483717.755425,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,C3gdCK101egCcEBl3b,192.168.1.132,53489,216.239.35.12,123,udp,-,0.272087,48,48,1,1,SF,CTU-Honeypot-Capture-4-1
1540484235.635954,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,C3xu7H3dfM6erO2dWg,192.168.1.132,53607,2.16.60.82,443,tcp,-,0.003497,0,0,5,3,SF,CTU-Honeypot-Capture-4-1
1540484235.596728,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CGbbxX37ZJ3wKecWQ6,192.168.1.132,42648,192.168.1.1,53,udp,dns,0.038729,34,297,1,1,SF,CTU-Honeypot-Capture-4-1
1540484958.127107,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CgSR2z419FlNGaLdw4,192.168.1.132,50380,216.239.35.0,123,udp,-,0.109672,48,48,1,1,SF,CTU-Honeypot-Capture-4-1
1540485135.742827,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CPg9Qe2aCDKzySLPTb,192.168.1.132,53608,2.16.60.82,443,tcp,-,0.003496,0,0,5,3,SF,CTU-Honeypot-Capture-4-1
1540485135.637638,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CzNTXM3U1imdcnKmJd,192.168.1.132,45769,192.168.1.1,53,udp,dns,0.104447,34,297,1,1,SF,CTU-Honeypot-Capture-4-1
1540485255.336405,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CESr2KLztxpxppQUj,192.168.1.132,45150,216.239.35.8,123,udp,-,0.016983,48,48,1,1,SF,CTU-Honeypot-Capture-4-1
1540485292.390032,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,Cw1ZIN1i0desF1jJL5,192.168.1.132,51218,216.239.35.4,123,udp,-,0.116177,48,48,1,1,SF,CTU-Honeypot-Capture-4-1
1540485837.604468,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CbvTSQXNjKuylVQBc,192.168.1.132,35257,216.239.35.12,123,udp,-,0.270104,48,48,1,1,SF,CTU-Honeypot-Capture-4-1
1540486035.853935,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CTg5GP1RFoDc9qCMa6,192.168.1.132,53609,2.16.60.82,443,tcp,-,0.003248,0,0,5,3,SF,CTU-Honeypot-Capture-4-1
1540486035.746003,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CM6UQ44dK8eiArSrN7,192.168.1.132,54613,192.168.1.1,53,udp,dns,0.107436,34,311,1,1,SF,CTU-Honeypot-Capture-4-1
1540486924.852768,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CAZatg2a0heEfxcKb,192.168.1.132,57012,52.209.221.67,80,tcp,http,0.089197,1847,1539,7,7,SF,CTU-Honeypot-Capture-4-1
1540486924.944965,iot23-philips-hue-01,Philips Hue smart LED lamp,smart_light,CXhlOUOXoJ7S8zmf3,192.168.1.132,60610,52.215.95.120,80,tcp,http,0.109936,1847,791,6,6,SF,CTU-Honeypot-Capture-4-1
